Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC9574,5x7 Product C Dalian,PA821,5,15.0,CHweb,Felicia,Wittels,Felicia.Wittels@example.com,Dalian,2024-03-30
TC9575,6x11 Product E Kathmandu,PA1976,3,12.899999999999999,CHmobile app,Ellen,Smith,Ellen.Smith@example.com,Kathmandu,2024-03-30
TC9576,6x9 Product D Hyderabad,PA1569,6,11.399999999999999,CHmobile app,Thomas,Alexander,Thomas.Alexander@example.com,Hyderabad,2024-03-30
TC9577,6x9 Product D Hiroshima,PA1527,6,12.0,CHmobile app,Betty,Haywood,Betty.Haywood@example.com,Hiroshima,2024-03-30
TC9578,5x7 Product D Hobart,PA879,5,11.5,CHweb,Joe,Gonzales,Joe.Gonzales@example.com,Hobart,2024-03-30
TC9579,5x7 Product D Seoul,PA883,4,13.2,CHweb,Louis,Black,Louis.Black@example.com,Seoul,2024-03-30
TC9580,4x6 Product E Colombo,PA327,4,13.6,CHweb,Sandra,Paynes,Sandra.Paynes@example.com,Colombo,2024-03-30
TC9581,5x7 Product D Sendai,PA866,5,14.5,CHin-store,Joseph,Caldera,Joseph.Caldera@example.com,Sendai,2024-03-30
TC9582,6x11 Product C Kaohsiung,PA1822,6,9.600000000000001,CHin-store,Kenneth,Vincent,Kenneth.Vincent@example.com,Kaohsiung,2024-03-30
TC9583,6x11 Product A Nagoya,PA1653,2,6.8,CHmobile app,John,Whitley,John.Whitley@example.com,Nagoya,2024-03-30
TC9584,6x11 Product A Saitama,PA1660,4,10.0,CHweb,Jonathan,Isaacs,Jonathan.Isaacs@example.com,Saitama,2024-03-30
TC9585,6x11 Product B Hanoi,PA1761,3,9.3,CHmobile app,Mayra,Monson,Mayra.Monson@example.com,Hanoi,2024-03-30
TC9586,4x6 Product E Chongqing,PA300,6,19.799999999999997,CHweb,Ryan,Gardner,Ryan.Gardner@example.com,Chongqing,2024-03-30
TC9587,6x11 Product D Yangon,PA1909,3,10.2,CHmobile app,Norma,Terrell,Norma.Terrell@example.com,Yangon,2024-03-30
TC9588,4.25x6 Product B Daegu,PA424,5,9.0,CHweb,Margaret,Berman,Margaret.Berman@example.com,Daegu,2024-03-30
TC9589,4.25x6 Product B Wuhan,PA431,3,11.100000000000001,CHweb,Joseph,Grant,Joseph.Grant@example.com,Wuhan,2024-03-30
TC9590,5.5x8.5 Product C Ahmedabad,PA1176,6,24.0,CHmobile app,Alisha,Reed,Alisha.Reed@example.com,Ahmedabad,2024-03-30
TC9591,5.5x8.5 Product D Hyderabad,PA1239,2,4.6,CHweb,Robert,Trahan,Robert.Trahan@example.com,Hyderabad,2024-03-30
TC9592,5x7 Product C Bangkok,PA833,4,11.2,CHweb,Simon,Miller,Simon.Miller@example.com,Bangkok,2024-03-30
TC9593,5.5x8.5 Product C Wuhan,PA1157,5,21.5,CHweb,Edna,Shirah,Edna.Shirah@example.com,Wuhan,2024-03-30
TC9594,5.5x8.5 Product E Wuhan,PA1289,1,3.1,CHweb,Dawn,Zappala,Dawn.Zappala@example.com,Wuhan,2024-03-30
TC9595,5x7 Product B Tokyo,PA727,3,11.7,CHweb,Joseph,Kuttner,Joseph.Kuttner@example.com,Tokyo,2024-03-30
TC9596,4x6 Product D Shenzhen,PA230,6,23.4,CHweb,Jennie,Bennett,Jennie.Bennett@example.com,Shenzhen,2024-03-30
TC9597,5.5x8.5 Product E Daegu,PA1282,4,6.4,CHweb,Linda,Loveday,Linda.Loveday@example.com,Daegu,2024-03-30
TC9598,4x6 Product D Mumbai,PA246,5,21.5,CHweb,Richard,Steger,Richard.Steger@example.com,Mumbai,2024-03-30
TC9599,5.5x8.5 Product D Melbourne,PA1210,5,19.5,CHmobile app,Stephanie,Adams,Stephanie.Adams@example.com,Melbourne,2024-03-30
TC9600,4x6 Product B Kathmandu,PA128,5,10.0,CHweb,Emma,Grow,Emma.Grow@example.com,Kathmandu,2024-03-30
TC9601,4x6 Product C Pune,PA187,4,7.2,CHweb,Stephen,Butler,Stephen.Butler@example.com,Pune,2024-03-30
TC9602,4.25x6 Product C Sagamihara,PA476,6,9.0,CHweb,Jerry,Scott,Jerry.Scott@example.com,Sagamihara,2024-03-30
TC9603,5x7 Product A Colombo,PA723,3,5.1,CHmobile app,Elizabeth,Dunmire,Elizabeth.Dunmire@example.com,Colombo,2024-03-30
TC9604,5x7 Product E Karachi,PA981,1,4.4,CHweb,Robert,Hill,Robert.Hill@example.com,Karachi,2024-03-30
TC9605,6x9 Product A Hanoi,PA1365,4,9.6,CHin-store,Meaghan,Bastilla,Meaghan.Bastilla@example.com,Hanoi,2024-03-30
TC9606,4x6 Product B Saitama,PA76,3,4.800000000000001,CHweb,Jeffrey,Hernandez,Jeffrey.Hernandez@example.com,Saitama,2024-03-30
TC9607,4x6 Product E Jakarta,PA306,3,4.5,CHweb,Kenneth,Olsen,Kenneth.Olsen@example.com,Jakarta,2024-03-30
TC9608,6x11 Product A Yangon,PA1711,6,24.0,CHweb,Caroline,Bowden,Caroline.Bowden@example.com,Yangon,2024-03-30
TC9609,5.5x8.5 Product D Melbourne,PA1210,1,3.9,CHmobile app,Louis,Durham,Louis.Durham@example.com,Melbourne,2024-03-30
TC9610,5x7 Product D Sapporo,PA862,4,6.4,CHweb,Michael,Green,Michael.Green@example.com,Sapporo,2024-03-30
TC9611,4x6 Product C Colombo,PA195,1,1.8,CHmobile app,Alice,Oday,Alice.Oday@example.com,Colombo,2024-03-30
TC9612,4.25x6 Product A Mumbai,PA378,4,16.4,CHweb,Ami,Moore,Ami.Moore@example.com,Mumbai,2024-03-30
TC9613,4.25x6 Product B Dalian,PA425,3,5.4,CHmobile app,Patrica,Green,Patrica.Green@example.com,Dalian,2024-03-30
