Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC28235,6x11 Product A Dalian,PA1679,2,8.4,CHweb,Dave,Marusak,Dave.Marusak@example.com,Dalian,2024-05-26
TC28236,4x6 Product E Kyoto,PA271,4,8.4,CHmobile app,Carmen,Kalina,Carmen.Kalina@example.com,Kyoto,2024-05-26
TC28237,4x6 Product D Delhi,PA247,6,25.799999999999997,CHweb,Glenda,Harris,Glenda.Harris@example.com,Delhi,2024-05-26
TC28238,6x9 Product E Hiroshima,PA1593,2,7.4,CHin-store,Mary,Johnson,Mary.Johnson@example.com,Hiroshima,2024-05-26
TC28239,5.5x8.5 Product D Okayama,PA1203,1,2.1,CHmobile app,Amy,Trynowski,Amy.Trynowski@example.com,Okayama,2024-05-26
TC28240,5.5x8.5 Product C Yangon,PA1183,5,9.0,CHweb,David,Miller,David.Miller@example.com,Yangon,2024-05-26
TC28241,6x11 Product D Colombo,PA1911,5,13.0,CHmobile app,Maria,Murphy,Maria.Murphy@example.com,Colombo,2024-05-26
TC28242,6x9 Product C Tianjin,PA1489,2,7.4,CHmobile app,Tatiana,Zellinger,Tatiana.Zellinger@example.com,Tianjin,2024-05-26
TC28243,6x9 Product A Sydney,PA1344,6,19.200000000000003,CHweb,Amy,Oreily,Amy.Oreily@example.com,Sydney,2024-05-26
TC28244,4.25x6 Product C Fukuoka,PA467,2,5.8,CHweb,Noel,Hendricks,Noel.Hendricks@example.com,Fukuoka,2024-05-26
TC28245,5x7 Product A Hanoi,PA705,3,6.6000000000000005,CHmobile app,Thomas,Griffin,Thomas.Griffin@example.com,Hanoi,2024-05-26
TC28246,4.25x6 Product E Osaka,PA596,4,6.8,CHin-store,Avelina,Smith,Avelina.Smith@example.com,Osaka,2024-05-26
TC28247,4.25x6 Product C Hobart,PA483,3,5.1,CHmobile app,Jean,Hernandez,Jean.Hernandez@example.com,Hobart,2024-05-26
TC28248,5.5x8.5 Product C Wuhan,PA1157,5,21.5,CHmobile app,Christopher,Hart,Christopher.Hart@example.com,Wuhan,2024-05-26
TC28249,4x6 Product E Chongqing,PA300,2,6.6,CHmobile app,Elvira,Walker,Elvira.Walker@example.com,Chongqing,2024-05-26
TC28250,6x9 Product D Kyoto,PA1525,4,14.4,CHweb,Michael,Smith,Michael.Smith@example.com,Kyoto,2024-05-26
TC28251,5.5x8.5 Product E Seoul,PA1279,3,5.1,CHmobile app,Charles,Mayfield,Charles.Mayfield@example.com,Seoul,2024-05-26
TC28252,6x9 Product A Guangzhou,PA1353,5,11.0,CHin-store,Corinne,Mallory,Corinne.Mallory@example.com,Guangzhou,2024-05-26
TC28253,6x11 Product E Taipei,PA1953,6,16.200000000000003,CHmobile app,Richard,Sanders,Richard.Sanders@example.com,Taipei,2024-05-26
