Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC14868,6x11 Product A Nagoya,PA1653,6,20.4,CHmobile app,James,Strange,James.Strange@example.com,Nagoya,2024-04-15
TC14869,6x11 Product C Brisbane,PA1800,5,17.0,CHmobile app,John,Manley,John.Manley@example.com,Brisbane,2024-04-15
TC14870,6x9 Product A Hiroshima,PA1329,1,1.9,CHin-store,Perry,Oneill,Perry.Oneill@example.com,Hiroshima,2024-04-15
TC14871,5.5x8.5 Product C Mumbai,PA1170,6,16.200000000000003,CHweb,David,Little,David.Little@example.com,Mumbai,2024-04-15
TC14872,6x11 Product E Kitakyushu,PA1926,2,6.4,CHweb,Sergio,Hitch,Sergio.Hitch@example.com,Kitakyushu,2024-04-15
TC14873,4.25x6 Product E Tokyo,PA595,4,10.8,CHweb,Timothy,Hans,Timothy.Hans@example.com,Tokyo,2024-04-15
TC14874,5.5x8.5 Product C Wuhan,PA1157,3,12.899999999999999,CHmobile app,Cecile,Green,Cecile.Green@example.com,Wuhan,2024-04-15
TC14875,5.5x8.5 Product D Delhi,PA1237,4,8.4,CHmobile app,Eric,Jandres,Eric.Jandres@example.com,Delhi,2024-04-15
TC14876,4.25x6 Product D Busan,PA554,4,10.0,CHmobile app,Briana,Kavanagh,Briana.Kavanagh@example.com,Busan,2024-04-15
TC14877,6x11 Product A Sydney,PA1674,2,5.2,CHmobile app,Ayanna,Blockett,Ayanna.Blockett@example.com,Sydney,2024-04-15
TC14878,6x11 Product B Vientiane,PA1781,2,5.8,CHin-store,Iva,Rodriguez,Iva.Rodriguez@example.com,Vientiane,2024-04-15
TC14879,6x9 Product C Chengdu,PA1486,3,9.600000000000001,CHweb,Isaac,Coon,Isaac.Coon@example.com,Chengdu,2024-04-15
TC14880,5.5x8.5 Product B Hong Kong,PA1094,3,10.8,CHmobile app,Mark,Barriere,Mark.Barriere@example.com,Hong Kong,2024-04-15
TC14881,4x6 Product A Chiba,PA11,6,22.200000000000003,CHmobile app,Denis,Allen,Denis.Allen@example.com,Chiba,2024-04-15
TC14882,5.5x8.5 Product C Nagoya,PA1125,5,10.5,CHweb,Loyd,Schroeder,Loyd.Schroeder@example.com,Nagoya,2024-04-15
TC14883,4x6 Product E Melbourne,PA286,6,15.0,CHin-store,Martin,Bartkowski,Martin.Bartkowski@example.com,Melbourne,2024-04-15
TC14884,5.5x8.5 Product E Phnom Penh,PA1318,6,10.8,CHmobile app,Robert,Brown,Robert.Brown@example.com,Phnom Penh,2024-04-15
TC14885,5.5x8.5 Product A Delhi,PA1039,1,3.9,CHweb,Ruth,Hernandez,Ruth.Hernandez@example.com,Delhi,2024-04-15
TC14886,5.5x8.5 Product A Bangalore,PA1040,4,9.6,CHweb,Lisa,Stevenson,Lisa.Stevenson@example.com,Bangalore,2024-04-15
TC14887,5.5x8.5 Product B Canberra,PA1075,3,10.5,CHweb,Jerry,Smith,Jerry.Smith@example.com,Canberra,2024-04-15
TC14888,5.5x8.5 Product C Bangkok,PA1163,3,9.600000000000001,CHmobile app,Jennifer,Rubio,Jennifer.Rubio@example.com,Bangkok,2024-04-15
TC14889,6x11 Product E Beijing,PA1944,3,9.600000000000001,CHweb,Steven,Gleaves,Steven.Gleaves@example.com,Beijing,2024-04-15
TC14890,4.25x6 Product D Hobart,PA549,5,12.5,CHmobile app,Virginia,Weatherly,Virginia.Weatherly@example.com,Hobart,2024-04-15
TC14891,5x7 Product B Shenzhen,PA758,6,23.4,CHmobile app,Norma,Lopez,Norma.Lopez@example.com,Shenzhen,2024-04-15
TC14892,5.5x8.5 Product D Chongqing,PA1224,1,3.6,CHmobile app,Ed,Friedrichs,Ed.Friedrichs@example.com,Chongqing,2024-04-15
TC14893,4x6 Product C Chiba,PA143,1,3.9,CHmobile app,Jim,March,Jim.March@example.com,Chiba,2024-04-15
TC14894,6x11 Product E Adelaide,PA1931,4,12.8,CHmobile app,Elizabeth,Mendez,Elizabeth.Mendez@example.com,Adelaide,2024-04-15
TC14895,5x7 Product C Vientiane,PA857,5,21.0,CHweb,Louise,Murphy,Louise.Murphy@example.com,Vientiane,2024-04-15
