Transaction ID,Product name,Product ID,Quantity,Total amount,Sales Channel,Customer First Name,Customer Last Name,Customer Email,Series City,Created Date
TC29227,4.25x6 Product D Brisbane,PA546,6,25.200000000000003,CHmobile app,Andrea,Anderson,Andrea.Anderson@example.com,Brisbane,2024-05-29
TC29228,6x9 Product A Chengdu,PA1354,2,7.4,CHweb,Gloria,Clark,Gloria.Clark@example.com,Chengdu,2024-05-29
TC29229,4.25x6 Product D Kobe,PA534,4,14.8,CHmobile app,Sina,Mcfate,Sina.Mcfate@example.com,Kobe,2024-05-29
TC29230,4x6 Product D Busan,PA224,1,1.8,CHmobile app,Avelina,Penoyer,Avelina.Penoyer@example.com,Busan,2024-05-29
TC29231,4.25x6 Product D Yangon,PA589,2,4.4,CHweb,Joaquin,Kenison,Joaquin.Kenison@example.com,Yangon,2024-05-29
TC29232,6x11 Product C Bangalore,PA1832,2,3.4,CHmobile app,Eric,Mcdaniel,Eric.Mcdaniel@example.com,Bangalore,2024-05-29
TC29233,4x6 Product B Karachi,PA123,5,10.0,CHweb,Richard,Freeman,Richard.Freeman@example.com,Karachi,2024-05-29
TC29234,4.25x6 Product A Okayama,PA345,2,7.8,CHweb,Rita,Mcallister,Rita.Mcallister@example.com,Okayama,2024-05-29
TC29235,6x11 Product D Nagoya,PA1851,5,14.0,CHin-store,Bryan,Wickstrom,Bryan.Wickstrom@example.com,Nagoya,2024-05-29
TC29236,5.5x8.5 Product E Vientiane,PA1319,4,11.2,CHmobile app,Angelo,Bennett,Angelo.Bennett@example.com,Vientiane,2024-05-29
TC29237,6x9 Product C Mumbai,PA1500,3,12.0,CHmobile app,Yvonne,Ramos,Yvonne.Ramos@example.com,Mumbai,2024-05-29
TC29238,6x11 Product A Kuala Lumpur,PA1693,3,9.899999999999999,CHin-store,Dean,Ray,Dean.Ray@example.com,Kuala Lumpur,2024-05-29
TC29239,4.25x6 Product B Manila,PA440,6,18.0,CHmobile app,Orville,Scott,Orville.Scott@example.com,Manila,2024-05-29
TC29240,5.5x8.5 Product A Kolkata,PA1042,4,16.0,CHmobile app,Alan,Higuera,Alan.Higuera@example.com,Kolkata,2024-05-29
TC29241,4.25x6 Product A Hyderabad,PA381,6,18.6,CHin-store,Tiara,Barriere,Tiara.Barriere@example.com,Hyderabad,2024-05-29
TC29242,6x9 Product E Sendai,PA1592,3,11.399999999999999,CHweb,Reginald,Scorgie,Reginald.Scorgie@example.com,Sendai,2024-05-29
TC29243,5x7 Product A Taipei,PA699,6,13.200000000000001,CHmobile app,Vernice,Craft,Vernice.Craft@example.com,Taipei,2024-05-29
TC29244,5.5x8.5 Product C Melbourne,PA1144,2,4.0,CHmobile app,Robert,Leonard,Robert.Leonard@example.com,Melbourne,2024-05-29
TC29245,6x11 Product A Singapore,PA1697,3,4.800000000000001,CHweb,Charlotte,Benson,Charlotte.Benson@example.com,Singapore,2024-05-29
TC29246,6x11 Product A Kitakyushu,PA1662,4,16.8,CHweb,Timothy,Castanon,Timothy.Castanon@example.com,Kitakyushu,2024-05-29
TC29247,4.25x6 Product E Hyderabad,PA645,2,7.6,CHmobile app,Vernice,Lee,Vernice.Lee@example.com,Hyderabad,2024-05-29
TC29248,6x11 Product C Tianjin,PA1819,1,1.8,CHmobile app,Carolyn,Crocker,Carolyn.Crocker@example.com,Tianjin,2024-05-29
TC29249,5x7 Product B Osaka,PA728,3,11.7,CHmobile app,George,Schumacher,George.Schumacher@example.com,Osaka,2024-05-29
TC29250,5.5x8.5 Product E Shanghai,PA1285,1,3.8,CHmobile app,Patrica,Brooks,Patrica.Brooks@example.com,Shanghai,2024-05-29
TC29251,4x6 Product A Brisbane,PA18,2,5.2,CHweb,Oscar,Loftis,Oscar.Loftis@example.com,Brisbane,2024-05-29
TC29252,4x6 Product D Tianjin,PA235,1,2.7,CHmobile app,Robert,Perrier,Robert.Perrier@example.com,Tianjin,2024-05-29
TC29253,5x7 Product A Colombo,PA723,2,3.4,CHweb,Kerry,Jameson,Kerry.Jameson@example.com,Colombo,2024-05-29
TC29254,5.5x8.5 Product E Kyoto,PA1261,6,26.400000000000002,CHmobile app,Cesar,Wiley,Cesar.Wiley@example.com,Kyoto,2024-05-29
TC29255,5x7 Product B Mumbai,PA774,5,21.0,CHmobile app,Gerald,Little,Gerald.Little@example.com,Mumbai,2024-05-29
TC29256,5.5x8.5 Product E Sendai,PA1262,3,6.6000000000000005,CHmobile app,Sibyl,Fowler,Sibyl.Fowler@example.com,Sendai,2024-05-29
TC29257,6x11 Product B Manila,PA1760,4,13.2,CHmobile app,Patrick,Gleaves,Patrick.Gleaves@example.com,Manila,2024-05-29
TC29258,4x6 Product A Tokyo,PA1,6,17.4,CHin-store,Angel,Oday,Angel.Oday@example.com,Tokyo,2024-05-29
TC29259,4x6 Product B Dhaka,PA126,2,8.8,CHweb,Michelle,Padron,Michelle.Padron@example.com,Dhaka,2024-05-29
